pygame 2.0.0 (SDL 2.0.12, python 3.9.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
         481881 function calls (477542 primitive calls) in 42.057 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      527    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
     1208    0.000    0.000    0.000    0.000 version.py:256(<genexpr>)
      119    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:636(spec_from_file_location)
       26    0.000    0.000    0.000    0.000 linecache.py:52(checkcache)
       74    0.000    0.000    0.000    0.000 enum.py:852(__and__)
     1656    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      614    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     1292    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:1131(resource_exists)
      217    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:353(get_provider)
        1    0.000    0.000    0.000    0.000 base64mime.py:5(<module>)
       89    0.000    0.000    0.000    0.000 enum.py:65(__setitem__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1259(_path_hooks)
     4137    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
      204    0.000    0.000    0.000    0.000 posixpath.py:60(isabs)
      880    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:331(get_makefile_filename)
      471    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 sysconfig.py:506(get_path)
        1    0.000    0.000    0.000    0.000 sysconfig.py:494(get_paths)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:166(_expand_vars)
      120    0.000    0.000    0.000    0.000 pyparsing.py:2368(__init__)
     1658    0.000    0.000    0.000    0.000 version.py:50(<lambda>)
      148    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       69    0.000    0.000    0.000    0.000 pyparsing.py:2412(__init__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4681(originalTextFor)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2863(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:1593(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1147(resource_stream)
       74    0.000    0.000    0.000    0.000 __init__.py:2396(yield_lines)
       41    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      135    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.000    0.000 __init__.py:4(<module>)
      526    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
