pygame 2.0.0 (SDL 2.0.12, python 3.9.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
         4126509 function calls (4122176 primitive calls) in 31.177 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     22/3    0.000    0.000    0.001    0.000 pyparsing.py:3397(parseImpl)
      133    0.000    0.000    0.001    0.000 pyparsing.py:3260(__init__)
    54/10    0.000    0.000    0.001    0.000 pyparsing.py:3762(streamline)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
      152    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
       97    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
     5887    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
       84    0.000    0.000    0.001    0.000 pyparsing.py:3390(__init__)
     2256    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      196    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:385(cached)
        2    0.000    0.000    0.001    0.000 pyparsing.py:4763(srange)
      173    0.000    0.000    0.001    0.000 ntpath.py:61(isabs)
      246    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
     7636    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     1915    0.001    0.000    0.001    0.000 posixpath.py:41(_get_sep)
      544    0.001    0.000    0.001    0.000 genericpath.py:121(_splitext)
        8    0.000    0.000    0.001    0.000 __init__.py:345(namedtuple)
    10000    0.001    0.000    0.001    0.000 {method 'bit_length' of 'int' objects}
        9    0.000    0.000    0.001    0.000 posixpath.py:387(realpath)
     2681    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
        1    0.000    0.000    0.001    0.001 sprite.py:21(<module>)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
      335    0.001    0.000    0.001    0.000 pyparsing.py:1144(__init__)
       20    0.000    0.000    0.001    0.000 __init__.py:1625(_get)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
      120    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
     4325    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        4    0.000    0.000    0.001    0.000 __init__.py:2273(declare_namespace)
      957    0.000    0.000    0.001    0.000 __init__.py:2363(_normalize_cached)
        7    0.000    0.000    0.001    0.000 enum.py:462(<listcomp>)
     1227    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x105922cf8}
        1    0.000    0.000    0.001    0.001 ntpath.py:2(<module>)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
       24    0.001    0.000    0.001    0.000 {built-in method io.open}
     6374    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     10/9    0.000    0.000    0.001    0.000 posixpath.py:396(_joinrealpath)
        1    0.000    0.000    0.001    0.001 specifiers.py:207(LegacySpecifier)
